time,A,A_A,A_A_A,A_A_A_A,A_A_A_A_A,A_A_A_A_A_A,A_A_A_A_A_A_A,A_A_A_A_A_A_A_A
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06006006006006006,0.8900959979270091,0.05027338496757812,0.0028571082301895975,0.0001798008430793641,1.2196596232576692e-05,8.701919788535019e-07,6.548416426465933e-08,5.194162025295994e-09
0.12012012012012012,0.7971139752090428,0.08542575008466623,0.009158279793890306,0.0009778786792523828,0.00011071685555274128,1.3415693830903844e-05,1.7322103158571892e-06,2.458267504976194e-07
0.18018018018018017,0.7180794055256449,0.1094906545833375,0.016809696999592005,0.0025243866824160317,0.0003898722612260338,6.260103072337066e-05,1.0396569471182643e-05,1.8630147540406717e-06
0.24024024024024024,0.6502863063082018,0.12572493529505452,0.024509657056793397,0.004700104777667801,0.0009082840734045083,0.00017944875781675617,3.6244253751854165e-05,7.826269375866017e-06
0.3003003003003003,0.5916323360948271,0.1363838737447779,0.03164372490076991,0.007280720602125473,0.0016742292749758747,0.0003900727059793313,9.250283842026505e-05,2.334460515267035e-05
0.36036036036036034,0.5405182426619545,0.14302998593178767,0.037936585690021486,0.010069972489539197,0.0026613276162286647,0.0007074850793278389,0.00019133719741593915,5.515368857374444e-05
0.42042042042042044,0.49572607055848655,0.14669233925128786,0.04337848044158118,0.012889087285212038,0.00381985661419988,0.0011348144813322812,0.00034330295848024133,0.00011077122522760084
0.4804804804804805,0.45628666966921183,0.14813018549078902,0.04799864001052678,0.01563417545531593,0.005095791799555812,0.0016639858695210964,0.0005542841895075782,0.00019718424591310904
0.5405405405405406,0.4213866849785755,0.14794371585206542,0.051838841909644696,0.01824150999131178,0.006442235573350158,0.0022818430820515066,0.0008260052307602087,0.00031988058713611927
0.6006006006006006,0.3903577305330969,0.14658121034489996,0.054966361563434575,0.020671048815127623,0.007819297121721957,0.002972865070674471,0.001157242195020555,0.0004827746904336518
0.6606606606606606,0.3626477376610911,0.14438360533468558,0.05744707290542445,0.02290785283887036,0.009196108528813921,0.0037199381503975823,0.0015439104119603854,0.0006881096631804957
0.7207207207207207,0.3377820594252037,0.14162182287486702,0.05935557600503011,0.02493602003064744,0.010550001257567112,0.004508804552886971,0.0019811788625938406,0.0009365501523531183
0.7807807807807807,0.31536420383725944,0.13849643259128927,0.06077163061001281,0.02674794952637484,0.011860921929838765,0.00532672323140497,0.0024640598433331856,0.0012278591674646736
0.8408408408408409,0.2951186943837332,0.13509322461377263,0.061778727380453966,0.028357627953904046,0.013120594892070115,0.006159533208152301,0.00298420434325405,0.0015598198305736505
0.9009009009009009,0.2767240945500453,0.1315751759253978,0.06242761409796379,0.029765912462845004,0.014315509037544579,0.006998603177090865,0.0035372792019173487,0.0019311178982946995
0.960960960960961,0.26002664647637913,0.12793154322342276,0.06279558952534675,0.03099715992927907,0.015445722601981812,0.007833581749360235,0.004114662471584781,0.0023377648023398924
1.021021021021021,0.2447825325034373,0.12427349189351142,0.06292026827801235,0.03205783109893707,0.01650440707612249,0.008658328373955231,0.004712259124538691,0.0027775669325513994
1.0810810810810811,0.2308585513047738,0.12060811606292869,0.0628467567175202,0.03296859186681419,0.017492981344270055,0.009467424541046132,0.005324082669757445,0.0032465683487849207
1.1411411411411412,0.218104350726591,0.11697187136620722,0.0626105754761561,0.033742818069468015,0.018411344153061074,0.010256579811562513,0.005945665119080749,0.003741631612495144
1.2012012012012012,0.20638199160857454,0.11340299416552543,0.06223745615628246,0.034391948946791075,0.01926024663302736,0.01102307688373306,0.006573466770636176,0.004259736822374047
1.2612612612612613,0.19560132732695587,0.10990688245193257,0.06174725713818515,0.034930759331589276,0.020043756587959802,0.011765485519045016,0.007204063877521346,0.004797494578279884
1.3213213213213213,0.18564301996342308,0.10651279727452004,0.0611637138347738,0.035369533468054146,0.020763396255924074,0.012481144177825271,0.007834268397590757,0.005352298240715774
